date,country,dau
2023-08-10,French Polynesia,1
2023-08-10,Gabon,5
2023-08-10,Germany,42
2023-08-10,Gibraltar,1
2023-08-10,Greece,3
2023-08-10,Guam,1
2023-08-10,Guatemala,111
2023-08-10,Guyana,1
2023-08-10,Haiti,2
2023-08-10,Honduras,108
2023-08-10,Hungary,3
2023-08-10,India,8
2023-08-10,Indonesia,25
2023-08-10,Iran,3
2023-08-10,Ireland,4
2023-08-10,Israel,85
2023-08-10,Italy,77
2023-08-10,Jamaica,1
2023-08-10,Japan,1
2023-08-10,Jordan,1
2023-08-10,Kazakhstan,3
2023-08-10,Kyrgyzstan,1
2023-08-10,Latvia,1
2023-08-10,Malaysia,24
2023-08-10,Mexico,1061
2023-08-10,Moldova,1
2023-08-10,Mongolia,1
2023-08-10,Morocco,481
2023-08-10,Netherlands,13
2023-08-10,New Zealand,10
2023-08-10,Nicaragua,46
2023-08-10,Niger,1
2023-08-10,Nigeria,4
2023-08-10,Norfolk Island,2
2023-08-10,Oman,1
2023-08-10,Pakistan,6
2023-08-10,Panama,264
2023-08-10,Paraguay,1000
2023-08-10,Peru,837
2023-08-10,Philippines,4
2023-08-10,Poland,2
2023-08-10,Portugal,21
2023-08-10,Puerto Rico,9
2023-08-10,Qatar,2
2023-08-10,Romania,4
2023-08-10,Russian Federation,9
2023-08-10,Saint Pierre and Miquelon,1
2023-08-10,San Marino,1
2023-08-10,Saudi Arabia,3
2023-08-10,Senegal,5
2023-08-10,Singapore,5
2023-08-10,Solomon Islands,1
2023-08-10,Somalia,1
2023-08-10,South Africa,16
2023-08-10,South Sudan,1
2023-08-10,Spain,2853
2023-08-10,Sudan,2
2023-08-10,Suriname,2
2023-08-10,Sweden,5
2023-08-10,Switzerland,9
2023-08-10,Taiwan,1
2023-08-10,Tajikistan,1
2023-08-10,Thailand,5
2023-08-10,Togo,17
2023-08-10,Trinidad and Tobago,1
2023-08-10,Tunisia,1
2023-08-10,Tuvalu,1
2023-08-10,Uganda,1
2023-08-10,Ukraine,4
2023-08-10,United Arab Emirates,4
2023-08-10,United Kingdom,49
2023-08-10,United States,330
2023-08-10,Uruguay,2377
2023-08-10,Venezuela,2248
2023-08-10,Viet Nam,4
2023-08-10,Virgin Islands,1
2023-08-10,Wallis and Futuna,1
2023-08-10,Yemen,4
2023-08-10,Zimbabwe,1
2023-08-11,Afghanistan,1
2023-08-11,Algeria,1
2023-08-11,Andorra,5
2023-08-11,Angola,1
2023-08-11,Antigua and Barbuda,1
2023-08-11,Argentina,15914
2023-08-11,Australia,13
2023-08-11,Austria,3
2023-08-11,Azerbaijan,1
2023-08-11,Bahamas,1
2023-08-11,Bahrain,2
2023-08-11,Belgium,5
2023-08-11,Benin,5
2023-08-11,Bermuda,1
2023-08-11,Bolivia,199
2023-08-11,Bonaire,2
2023-08-11,Bosnia and Herzegovina,1
2023-08-11,Brazil,798
2023-08-11,British Indian Ocean Territory,1
2023-08-11,Burkina Faso,12
2023-08-11,Cameroon,12
2023-08-11,Canada,22
2023-08-11,Central African Republic,1
2023-08-11,Chad,1
2023-08-11,Chile,2543
2023-08-11,China,7
2023-08-11,Colombia,3100
2023-08-11,Congo,32
2023-08-11,Costa Rica,279
2023-08-11,Croatia,2
2023-08-11,Cuba,10
2023-08-11,Curaçao,2
2023-08-11,Cyprus,1
2023-08-11,Côte d'Ivoire,13
2023-08-11,Denmark,5
2023-08-11,Dominica,1
2023-08-11,Dominican Republic,150
2023-08-11,Ecuador,391
2023-08-11,Egypt,15
2023-08-11,El Salvador,85
2023-08-11,Equatorial Guinea,1
2023-08-11,Error: ,231
2023-08-11,Error: 'NoneType' object has no attribute 'name',4
2023-08-11,Error: (0) Could not interpret numbers after plus-sign.,19
2023-08-11,Estonia,1
2023-08-11,Falkland Islands (Malvinas),4
2023-08-11,Finland,3
2023-08-11,France,31
2023-08-11,Gabon,4
2023-08-11,Germany,42
2023-08-11,Ghana,3
2023-08-11,Greece,2
2023-08-11,Guatemala,134
2023-08-11,Guyana,1
2023-08-11,Haiti,3
2023-08-11,Honduras,104
2023-08-11,Hong Kong,1
2023-08-11,Hungary,5
2023-08-11,India,1
2023-08-11,Indonesia,16
2023-08-11,Iran,3
2023-08-11,Ireland,6
2023-08-11,Israel,41
2023-08-11,Italy,55
2023-08-11,Jamaica,2
2023-08-11,Japan,2
2023-08-11,Jordan,1
2023-08-11,Kazakhstan,2
2023-08-11,Kenya,1
2023-08-11,Lebanon,2
2023-08-11,Liechtenstein,1
2023-08-11,Madagascar,1
2023-08-11,Malawi,1
2023-08-11,Malaysia,17
2023-08-11,Mali,3
2023-08-11,Malta,3
2023-08-11,Mexico,1107
2023-08-11,Moldova,1
2023-08-11,Mongolia,1
2023-08-11,Morocco,694
2023-08-11,Mozambique,2
2023-08-11,Myanmar,3
2023-08-11,Nepal,1
2023-08-11,Netherlands,13
2023-08-11,New Caledonia,1
2023-08-11,New Zealand,11
2023-08-11,Nicaragua,53
2023-08-11,Nigeria,2
2023-08-11,Norway,2
2023-08-11,Oman,2
2023-08-11,Pakistan,5
2023-08-11,Panama,231
2023-08-11,Paraguay,1034
2023-08-11,Peru,813
2023-08-11,Philippines,5
2023-08-11,Poland,4
2023-08-11,Portugal,13
2023-08-11,Puerto Rico,6
2023-08-11,Romania,1
2023-08-11,Russian Federation,13
2023-08-11,Saudi Arabia,4
2023-08-11,Senegal,2
2023-08-11,Singapore,5
2023-08-11,Sint Maarten (Dutch part),1
2023-08-11,South Africa,19
2023-08-11,Spain,2794
2023-08-11,Sri Lanka,4
2023-08-11,Sudan,2
2023-08-11,Suriname,1
2023-08-11,Sweden,1
2023-08-11,Switzerland,8
2023-08-11,Thailand,3
2023-08-11,Togo,26
2023-08-11,Tunisia,3
2023-08-11,Turkey,1
2023-08-11,Turkmenistan,1
2023-08-11,Uganda,1
2023-08-11,Ukraine,1
2023-08-11,United Arab Emirates,3
2023-08-11,United Kingdom,39
2023-08-11,United States,291
2023-08-11,Uruguay,2167
2023-08-11,Uzbekistan,1
2023-08-11,Venezuela,2207
2023-08-11,Viet Nam,2
2023-08-11,Yemen,5
2023-08-12,Afghanistan,2
2023-08-12,Albania,1
2023-08-12,Andorra,2
2023-08-12,Argentina,9244
2023-08-12,Australia,20
2023-08-12,Austria,5
2023-08-12,Azerbaijan,1
2023-08-12,Bahrain,2
2023-08-12,Belgium,4
2023-08-12,Belize,2
2023-08-12,Benin,4
2023-08-12,Bermuda,1
2023-08-12,Bolivia,131
2023-08-12,Brazil,485
2023-08-12,British Indian Ocean Territory,1
2023-08-12,Bulgaria,2
2023-08-12,Burkina Faso,9
2023-08-12,Burundi,1
2023-08-12,Cameroon,16
2023-08-12,Canada,15
2023-08-12,Central African Republic,1
2023-08-12,Chile,1262
2023-08-12,China,3
2023-08-12,Colombia,1991
2023-08-12,Congo,23
2023-08-12,Costa Rica,204
2023-08-12,Croatia,2
2023-08-12,Cuba,11
2023-08-12,Curaçao,2
2023-08-12,Czechia,1
2023-08-12,Côte d'Ivoire,16
2023-08-12,Denmark,3
2023-08-12,Dominican Republic,121
2023-08-12,Ecuador,344
2023-08-12,Egypt,13
2023-08-12,El Salvador,82
2023-08-12,Error: ,169
2023-08-12,Error: 'NoneType' object has no attribute 'name',2
2023-08-12,Error: (0) Could not interpret numbers after plus-sign.,18
2023-08-12,Falkland Islands (Malvinas),2
2023-08-12,Fiji,1
2023-08-12,France,23
2023-08-12,French Guiana,1
2023-08-12,Gabon,6
2023-08-12,Gambia,1
2023-08-12,Germany,32
2023-08-12,Ghana,5
2023-08-12,Gibraltar,1
2023-08-12,Greece,4
2023-08-12,Guatemala,90
2023-08-12,Guyana,3
2023-08-12,Haiti,3
2023-08-12,Honduras,84
2023-08-12,Hungary,1
2023-08-12,India,3
2023-08-12,Indonesia,15
2023-08-12,Iran,1
2023-08-12,Ireland,5
2023-08-12,Israel,17
2023-08-12,Italy,57
2023-08-12,Jamaica,1
2023-08-12,Japan,2
2023-08-12,Jordan,1
2023-08-12,Kazakhstan,2
2023-08-12,Kenya,1
2023-08-12,Korea,3
2023-08-12,Lebanon,1
2023-08-12,Luxembourg,1
2023-08-12,Malaysia,12
2023-08-12,Mali,3
2023-08-12,Malta,2
2023-08-12,Martinique,1
2023-08-12,Mauritania,1
2023-08-12,Mexico,811
2023-08-12,Morocco,631
2023-08-12,Mozambique,1
2023-08-12,Myanmar,1
2023-08-12,Nepal,1
2023-08-12,Netherlands,14
2023-08-12,New Zealand,7
2023-08-12,Nicaragua,53
2023-08-12,Niger,2
2023-08-12,Nigeria,1
2023-08-12,Niue,1
2023-08-12,Norway,3
2023-08-12,Oman,1
2023-08-12,Pakistan,3
2023-08-12,Panama,174
2023-08-12,Paraguay,657
2023-08-12,Peru,621
2023-08-12,Philippines,5
2023-08-12,Poland,2
2023-08-12,Portugal,8
2023-08-12,Puerto Rico,7
2023-08-12,Romania,1
2023-08-12,Russian Federation,12
2023-08-12,San Marino,1
2023-08-12,Saudi Arabia,2
2023-08-12,Senegal,1
2023-08-12,Singapore,4
2023-08-12,Sint Maarten (Dutch part),1
2023-08-12,South Africa,6
2023-08-12,Spain,2155
2023-08-12,Sri Lanka,3
2023-08-12,Sudan,1
2023-08-12,Sweden,1
2023-08-12,Switzerland,8
2023-08-12,Taiwan,1
2023-08-12,Thailand,2
2023-08-12,Togo,15
2023-08-12,Trinidad and Tobago,1
2023-08-12,Turkmenistan,1
2023-08-12,Tuvalu,1
2023-08-12,Uganda,1
2023-08-12,Ukraine,1
2023-08-12,United Arab Emirates,3
2023-08-12,United Kingdom,21
2023-08-12,United States,130
2023-08-12,Uruguay,1200
2023-08-12,Venezuela,1697
2023-08-12,Viet Nam,2
2023-08-12,Yemen,5
2023-08-12,Zambia,1
2023-08-12,Zimbabwe,1
2023-08-13,Afghanistan,1
2023-08-13,Andorra,4
2023-08-13,Angola,1
2023-08-13,Antigua and Barbuda,1
2023-08-13,Argentina,8060
2023-08-13,Australia,20
2023-08-13,Austria,3
2023-08-13,Azerbaijan,1
2023-08-13,Bahrain,1
2023-08-13,Belgium,4
2023-08-13,Belize,1
2023-08-13,Benin,12
2023-08-13,Bolivia,113
2023-08-13,Brazil,359
2023-08-13,Burkina Faso,6
2023-08-13,Cameroon,13
2023-08-13,Canada,18
2023-08-13,Chad,1
2023-08-13,Chile,1050
2023-08-13,China,2
2023-08-13,Colombia,1476
2023-08-13,Congo,24
2023-08-13,Costa Rica,132
2023-08-13,Croatia,1
2023-08-13,Cuba,6
2023-08-13,Curaçao,2
2023-08-13,Côte d'Ivoire,11
2023-08-13,Denmark,3
2023-08-13,Djibouti,1
2023-08-13,Dominican Republic,109
2023-08-13,Ecuador,335
2023-08-13,Egypt,10
2023-08-13,El Salvador,65
2023-08-13,Error: ,135
2023-08-13,Error: 'NoneType' object has no attribute 'name',3
2023-08-13,Error: (0) Could not interpret numbers after plus-sign.,14
2023-08-13,Faroe Islands,1
2023-08-13,France,28
2023-08-13,Gabon,7
2023-08-13,Germany,43
2023-08-13,Ghana,2
2023-08-13,Gibraltar,1
2023-08-13,Greece,4
2023-08-13,Guatemala,66
2023-08-13,Guinea,2
2023-08-13,Guyana,2
2023-08-13,Haiti,1
2023-08-13,Honduras,77
2023-08-13,Hungary,3
2023-08-13,India,6
2023-08-13,Indonesia,8
2023-08-13,Iran,1
2023-08-13,Israel,67
2023-08-13,Italy,50
2023-08-13,Jamaica,1
2023-08-13,Japan,1
2023-08-13,Jordan,1
2023-08-13,Kazakhstan,1
2023-08-13,Korea,1
2023-08-13,Lao People's Democratic Republic,1
2023-08-13,Lebanon,2
2023-08-13,Malaysia,8
2023-08-13,Mali,3
2023-08-13,Mexico,700
2023-08-13,Moldova,1
2023-08-13,Montenegro,1
2023-08-13,Morocco,636
2023-08-13,Mozambique,2
2023-08-13,Netherlands,13
2023-08-13,New Caledonia,1
2023-08-13,New Zealand,3
2023-08-13,Nicaragua,48
2023-08-13,Nigeria,1
2023-08-13,Norway,1
2023-08-13,Oman,1
2023-08-13,Panama,147
2023-08-13,Paraguay,425
2023-08-13,Peru,550
2023-08-13,Philippines,4
2023-08-13,Portugal,11
2023-08-13,Puerto Rico,9
2023-08-13,Romania,1
2023-08-13,Russian Federation,9
2023-08-13,Saint Pierre and Miquelon,1
2023-08-13,Saint Vincent and the Grenadines,1
2023-08-13,San Marino,1
2023-08-13,Saudi Arabia,3
2023-08-13,Senegal,4
2023-08-13,Singapore,1
2023-08-13,Sint Maarten (Dutch part),1
2023-08-13,South Africa,14
2023-08-13,Spain,2040
2023-08-13,Sri Lanka,2
2023-08-13,Sudan,4
2023-08-13,Suriname,2
2023-08-13,Sweden,1
2023-08-13,Switzerland,8
2023-08-13,Tanzania,1
2023-08-13,Thailand,1
2023-08-13,Timor-Leste,1
2023-08-13,Togo,17
2023-08-13,Turkey,2
2023-08-13,Uganda,1
2023-08-13,United Arab Emirates,3
2023-08-13,United Kingdom,40
2023-08-13,United States,199
2023-08-13,Uruguay,931
2023-08-13,Venezuela,1482
2023-08-13,Viet Nam,1
2023-08-13,Yemen,7
2023-08-14,Afghanistan,1
2023-08-14,Algeria,3
2023-08-14,Andorra,2
2023-08-14,Argentina,15345
2023-08-14,Australia,17
2023-08-14,Austria,3
2023-08-14,Azerbaijan,2
2023-08-14,Bahrain,2
2023-08-14,Belgium,4
2023-08-14,Benin,12
2023-08-14,Bolivia,185
2023-08-14,Bonaire,1
2023-08-14,Brazil,756
2023-08-14,Bulgaria,1
2023-08-14,Burkina Faso,13
2023-08-14,Cameroon,14
2023-08-14,Canada,29
2023-08-14,Chad,3
2023-08-14,Chile,1987
2023-08-14,China,4
2023-08-14,Colombia,3181
2023-08-14,Comoros,1
2023-08-14,Congo,39
2023-08-14,Costa Rica,155
2023-08-14,Croatia,2
2023-08-14,Cuba,10
2023-08-14,Curaçao,1
2023-08-14,Czechia,1
2023-08-14,Côte d'Ivoire,16
2023-08-14,Denmark,3
2023-08-14,Dominican Republic,141
2023-08-14,Ecuador,548
2023-08-14,Egypt,14
2023-08-14,El Salvador,85
2023-08-14,Equatorial Guinea,1
2023-08-14,Error: ,269
2023-08-14,Error: 'NoneType' object has no attribute 'name',6
2023-08-14,Error: (0) Could not interpret numbers after plus-sign.,15
2023-08-14,Falkland Islands (Malvinas),1
2023-08-14,Fiji,1
2023-08-14,France,39
2023-08-14,Gabon,5
2023-08-14,Gambia,1
2023-08-14,Germany,46
2023-08-14,Ghana,4
2023-08-14,Gibraltar,1
2023-08-14,Greece,1
2023-08-14,Guadeloupe,1
2023-08-14,Guatemala,105
2023-08-14,Guyana,3
2023-08-14,Haiti,3
2023-08-14,Honduras,108
2023-08-14,Hungary,3
2023-08-14,India,4
2023-08-14,Indonesia,25
2023-08-14,Iran,1
2023-08-14,Ireland,6
2023-08-14,Israel,72
2023-08-14,Italy,61
2023-08-14,Japan,5
2023-08-14,Kazakhstan,2
2023-08-14,Korea,1
2023-08-14,Lebanon,1
2023-08-14,Lithuania,1
2023-08-14,Luxembourg,1
2023-08-14,Malaysia,21
2023-08-14,Maldives,1
2023-08-14,Mali,6
2023-08-14,Malta,1
2023-08-14,Marshall Islands,1
2023-08-14,Martinique,2
2023-08-14,Mauritania,1
2023-08-14,Mayotte,1
2023-08-14,Mexico,1092
2023-08-14,Montenegro,1
2023-08-14,Morocco,662
2023-08-14,Myanmar,4
2023-08-14,Netherlands,10
2023-08-14,New Caledonia,1
2023-08-14,New Zealand,10
2023-08-14,Nicaragua,48
2023-08-14,Niger,3
2023-08-14,Nigeria,3
2023-08-14,Norway,1
2023-08-14,Oman,1
2023-08-14,Pakistan,3
2023-08-14,Panama,225
2023-08-14,Paraguay,960
2023-08-14,Peru,777
2023-08-14,Philippines,6
2023-08-14,Poland,4
2023-08-14,Portugal,8
2023-08-14,Puerto Rico,6
2023-08-14,Qatar,2
2023-08-14,Romania,2
2023-08-14,Russian Federation,34
2023-08-14,Saint Lucia,1
2023-08-14,Saint Pierre and Miquelon,1
2023-08-14,Saudi Arabia,4
2023-08-14,Senegal,7
2023-08-14,Singapore,4
2023-08-14,South Africa,16
2023-08-14,Spain,2623
2023-08-14,Sri Lanka,2
2023-08-14,Sudan,4
2023-08-14,Suriname,1
2023-08-14,Sweden,4
2023-08-14,Switzerland,12
2023-08-14,Taiwan,1
2023-08-14,Tajikistan,1
2023-08-14,Tanzania,1
2023-08-14,Thailand,3
2023-08-14,Togo,21
2023-08-14,Trinidad and Tobago,1
2023-08-14,Turkey,2
2023-08-14,Turkmenistan,1
2023-08-14,Ukraine,2
2023-08-14,United Arab Emirates,6
2023-08-14,United Kingdom,45
2023-08-14,United States,314
2023-08-14,Uruguay,2202
2023-08-14,Uzbekistan,1
2023-08-14,Venezuela,2134
2023-08-14,Viet Nam,5
2023-08-14,Virgin Islands,1
2023-08-14,Yemen,5
2023-08-15,Afghanistan,1
2023-08-15,Algeria,5
2023-08-15,American Samoa,1
2023-08-15,Angola,2
2023-08-15,Anguilla,1
2023-08-15,Argentina,16077
2023-08-15,Aruba,1
2023-08-15,Australia,24
2023-08-15,Austria,3
2023-08-15,Azerbaijan,1
2023-08-15,Bahrain,2
2023-08-15,Belgium,9
2023-08-15,Benin,9
2023-08-15,Bolivia,188
2023-08-15,Bonaire,1
2023-08-15,Brazil,795
2023-08-15,Bulgaria,1
2023-08-15,Burkina Faso,6
2023-08-15,Cameroon,13
2023-08-15,Canada,28
2023-08-15,Central African Republic,1
2023-08-15,Chad,4
2023-08-15,Chile,1261
2023-08-15,China,6
2023-08-15,Colombia,3287
2023-08-15,Comoros,1
2023-08-15,Congo,65
2023-08-15,Costa Rica,244
2023-08-15,Croatia,1
2023-08-15,Cuba,17
2023-08-15,Curaçao,1
2023-08-15,Côte d'Ivoire,14
2023-08-15,Denmark,2
2023-08-15,Dominican Republic,139
2023-08-15,Ecuador,580
2023-08-15,Egypt,12
2023-08-15,El Salvador,107
2023-08-15,Error: ,270
2023-08-15,Error: 'NoneType' object has no attribute 'name',2
2023-08-15,Error: (0) Could not interpret numbers after plus-sign.,18
2023-08-15,Estonia,1
2023-08-15,Faroe Islands,1
2023-08-15,Finland,3
2023-08-15,France,37
2023-08-15,French Guiana,1
2023-08-15,Gabon,12
2023-08-15,Germany,48
2023-08-15,Ghana,3
2023-08-15,Greece,5
2023-08-15,Guatemala,75
2023-08-15,Guinea,3
2023-08-15,Guyana,3
2023-08-15,Haiti,6
2023-08-15,Honduras,115
2023-08-15,Hungary,4
2023-08-15,India,6
2023-08-15,Indonesia,20
2023-08-15,Iran,2
2023-08-15,Ireland,3
2023-08-15,Israel,62
2023-08-15,Italy,56
2023-08-15,Jamaica,3
2023-08-15,Japan,2
2023-08-15,Kazakhstan,3
2023-08-15,Kenya,1
2023-08-15,Korea,2
2023-08-15,Libya,1
2023-08-15,Lithuania,1
2023-08-15,Madagascar,1
2023-08-15,Malaysia,15
2023-08-15,Mali,2
2023-08-15,Malta,2
2023-08-15,Marshall Islands,1
2023-08-15,Martinique,4
2023-08-15,Mauritania,2
2023-08-15,Mexico,1072
2023-08-15,Monaco,1
2023-08-15,Montenegro,2
2023-08-15,Morocco,1021
2023-08-15,Mozambique,1
2023-08-15,Myanmar,2
2023-08-15,Netherlands,8
2023-08-15,New Caledonia,1
2023-08-15,New Zealand,8
2023-08-15,Nicaragua,48
2023-08-15,Niger,4
2023-08-15,Nigeria,1
2023-08-15,Norfolk Island,1
2023-08-15,Norway,1
2023-08-15,Oman,2
2023-08-15,Pakistan,5
2023-08-15,Panama,240
2023-08-15,Paraguay,498
2023-08-15,Peru,785
2023-08-15,Philippines,5
2023-08-15,Portugal,15
2023-08-15,Puerto Rico,4
2023-08-15,Qatar,2
2023-08-15,Romania,4
2023-08-15,Russian Federation,30
2023-08-15,Saint Lucia,1
2023-08-15,Saint Pierre and Miquelon,1
2023-08-15,Sao Tome and Principe,1
2023-08-15,Saudi Arabia,6
2023-08-15,Senegal,6
2023-08-15,Serbia,1
2023-08-15,Seychelles,2
2023-08-15,Singapore,3
2023-08-15,Sint Maarten (Dutch part),1
2023-08-15,South Africa,19
2023-08-15,South Sudan,1
2023-08-15,Spain,2117
2023-08-15,Sri Lanka,1
2023-08-15,Sudan,4
2023-08-15,Sweden,2
2023-08-15,Switzerland,12
2023-08-15,Taiwan,1
2023-08-15,Tajikistan,1
2023-08-15,Tanzania,1
2023-08-15,Thailand,3
2023-08-15,Togo,31
2023-08-15,Trinidad and Tobago,1
2023-08-15,Tunisia,3
2023-08-15,Turkey,4
2023-08-15,Uganda,1
2023-08-15,Ukraine,2
2023-08-15,United Arab Emirates,5
2023-08-15,United Kingdom,45
2023-08-15,United States,325
2023-08-15,Uruguay,2371
2023-08-15,Uzbekistan,1
2023-08-15,Venezuela,2224
2023-08-15,Viet Nam,5
2023-08-15,Yemen,1
2023-08-16,Afghanistan,1
2023-08-16,Albania,1
2023-08-16,Algeria,2
2023-08-16,Andorra,3
2023-08-16,Angola,8
2023-08-16,Argentina,16334
2023-08-16,Australia,18
2023-08-16,Austria,4
2023-08-16,Barbados,1
2023-08-16,Belgium,8
2023-08-16,Belize,2
2023-08-16,Benin,10
2023-08-16,Bolivia,189
2023-08-16,Bonaire,1
2023-08-16,Brazil,956
2023-08-16,British Indian Ocean Territory,1
2023-08-16,Bulgaria,1
2023-08-16,Burkina Faso,10
2023-08-16,Cameroon,25
2023-08-16,Canada,26
2023-08-16,Central African Republic,1
2023-08-16,Chad,3
2023-08-16,Chile,2904
2023-08-16,China,2
2023-08-16,Colombia,3349
2023-08-16,Comoros,2
2023-08-16,Congo,57
2023-08-16,Costa Rica,320
2023-08-16,Cuba,13
2023-08-16,Curaçao,2
2023-08-16,Côte d'Ivoire,24
2023-08-16,Denmark,1
2023-08-16,Djibouti,2
2023-08-16,Dominican Republic,125
2023-08-16,Ecuador,588
2023-08-16,Egypt,23
2023-08-16,El Salvador,103
2023-08-16,Equatorial Guinea,1
2023-08-16,Error: ,273
2023-08-16,Error: 'NoneType' object has no attribute 'name',6
2023-08-16,Error: (0) Could not interpret numbers after plus-sign.,26
2023-08-16,Estonia,1
2023-08-16,Eswatini,1
2023-08-16,Falkland Islands (Malvinas),1
2023-08-16,Faroe Islands,1
2023-08-16,Finland,2
2023-08-16,France,36
2023-08-16,French Guiana,1
2023-08-16,Gabon,12
2023-08-16,Germany,44
2023-08-16,Ghana,2
2023-08-16,Greece,5
2023-08-16,Guatemala,116
2023-08-16,Guinea,1
2023-08-16,Guyana,2
2023-08-16,Haiti,5
2023-08-16,Honduras,100
2023-08-16,Hungary,4
2023-08-16,India,5
2023-08-16,Indonesia,25
2023-08-16,Iran,3
2023-08-16,Ireland,5
2023-08-16,Israel,68
2023-08-16,Italy,59
2023-08-16,Jamaica,1
2023-08-16,Japan,3
2023-08-16,Kazakhstan,6
2023-08-16,Korea,3
2023-08-16,Kyrgyzstan,1
2023-08-16,Lebanon,2
2023-08-16,Libya,2
2023-08-16,Lithuania,1
2023-08-16,Madagascar,1
2023-08-16,Malaysia,23
2023-08-16,Mali,2
2023-08-16,Malta,3
2023-08-16,Martinique,1
2023-08-16,Mauritania,4
2023-08-16,Mexico,1110
2023-08-16,Morocco,918
2023-08-16,Mozambique,6
2023-08-16,Myanmar,5
2023-08-16,Netherlands,14
2023-08-16,New Caledonia,1
2023-08-16,New Zealand,10
2023-08-16,Nicaragua,47
2023-08-16,Nigeria,3
2023-08-16,Norway,2
2023-08-16,Pakistan,2
2023-08-16,Panama,240
2023-08-16,Papua New Guinea,1
2023-08-16,Paraguay,1070
2023-08-16,Peru,833
2023-08-16,Philippines,10
2023-08-16,Poland,1
2023-08-16,Portugal,16
2023-08-16,Puerto Rico,10
2023-08-16,Qatar,1
2023-08-16,Romania,4
2023-08-16,Russian Federation,29
2023-08-16,Saint Helena,1
2023-08-16,Saint Lucia,1
2023-08-16,Saint Pierre and Miquelon,1
2023-08-16,Saudi Arabia,2
2023-08-16,Senegal,5
2023-08-16,Seychelles,1
2023-08-16,Singapore,9
2023-08-16,Sint Maarten (Dutch part),2
2023-08-16,Somalia,2
2023-08-16,South Africa,16
2023-08-16,South Sudan,1
2023-08-16,Spain,2648
2023-08-16,Sri Lanka,3
2023-08-16,Sudan,4
2023-08-16,Sweden,2
2023-08-16,Switzerland,9
2023-08-16,Syrian Arab Republic,1
2023-08-16,Taiwan,1
2023-08-16,Thailand,2
2023-08-16,Togo,15
2023-08-16,Trinidad and Tobago,1
2023-08-16,Tunisia,1
2023-08-16,Turkey,4
2023-08-16,Ukraine,2
2023-08-16,United Arab Emirates,5
2023-08-16,United Kingdom,41
2023-08-16,United States,342
2023-08-16,Uruguay,2507
2023-08-16,Uzbekistan,1
2023-08-16,Venezuela,2205
2023-08-16,Viet Nam,1
2023-08-16,Yemen,6
2023-08-17,Afghanistan,1
2023-08-17,Algeria,1
2023-08-17,American Samoa,1
2023-08-17,Andorra,7
2023-08-17,Angola,11
2023-08-17,Argentina,15257
2023-08-17,Australia,24
2023-08-17,Austria,8
2023-08-17,Azerbaijan,1
2023-08-17,Bahamas,1
2023-08-17,Barbados,1
2023-08-17,Belgium,7
2023-08-17,Benin,8
2023-08-17,Bolivia,194
2023-08-17,Brazil,888
2023-08-17,British Indian Ocean Territory,1
2023-08-17,Bulgaria,2
2023-08-17,Burkina Faso,7
2023-08-17,Cambodia,1
2023-08-17,Cameroon,16
2023-08-17,Canada,24
2023-08-17,Central African Republic,1
2023-08-17,Chad,5
2023-08-17,Chile,2865
2023-08-17,China,4
2023-08-17,Colombia,3384
2023-08-17,Congo,53
2023-08-17,Cook Islands,1
2023-08-17,Costa Rica,318
2023-08-17,Croatia,4
2023-08-17,Cuba,10
2023-08-17,Curaçao,2
2023-08-17,Côte d'Ivoire,15
2023-08-17,Denmark,5
2023-08-17,Djibouti,1
2023-08-17,Dominican Republic,155
2023-08-17,Ecuador,576
2023-08-17,Egypt,19
2023-08-17,El Salvador,112
2023-08-17,Equatorial Guinea,4
2023-08-17,Error: ,284
2023-08-17,Error: 'NoneType' object has no attribute 'name',5
2023-08-17,Error: (0) Could not interpret numbers after plus-sign.,24
2023-08-17,Estonia,1
2023-08-17,Eswatini,1
2023-08-17,Faroe Islands,1
2023-08-17,Finland,2
2023-08-17,France,33
2023-08-17,French Polynesia,1
2023-08-17,Gabon,7
2023-08-17,Gambia,1
2023-08-17,Germany,42
2023-08-17,Ghana,2
2023-08-17,Greece,2
2023-08-17,Guam,1
2023-08-17,Guatemala,104
2023-08-17,Guinea,1
2023-08-17,Guinea-Bissau,1
2023-08-17,Guyana,1
2023-08-17,Haiti,3
2023-08-17,Honduras,97
2023-08-17,Hungary,2
2023-08-17,Iceland,1
2023-08-17,India,4
2023-08-17,Indonesia,25
2023-08-17,Iran,1
2023-08-17,Iraq,1
2023-08-17,Ireland,4
2023-08-17,Israel,66
2023-08-17,Italy,66
2023-08-17,Jamaica,4
2023-08-17,Japan,4
2023-08-17,Kazakhstan,3
2023-08-17,Korea,1
2023-08-17,Lebanon,2
2023-08-17,Libya,1
2023-08-17,Lithuania,1
2023-08-17,Luxembourg,1
2023-08-17,Malaysia,23
2023-08-17,Mali,4
2023-08-17,Malta,1
2023-08-17,Martinique,1
2023-08-17,Mauritania,3
2023-08-17,Mexico,1060
2023-08-17,Moldova,1
2023-08-17,Morocco,892
2023-08-17,Mozambique,6
2023-08-17,Myanmar,4
2023-08-17,Netherlands,13
2023-08-17,New Zealand,5
2023-08-17,Nicaragua,38
2023-08-17,Niger,2
2023-08-17,Nigeria,3
2023-08-17,Norfolk Island,2
2023-08-17,North Macedonia,1
2023-08-17,Norway,1
2023-08-17,Oman,2
2023-08-17,Pakistan,10
2023-08-17,Panama,260
2023-08-17,Papua New Guinea,1
